image_id,channel_bin,view_quality_bin,target_class,gt_count,detector_target_count,abs_detector_count_error,question,ground_truth_answer,predicted_answer,correct
0000001_02999_d_0000005,bad,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,bad,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,bad,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,medium,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,medium,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,medium,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,good,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,good,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,good,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_03499_d_0000006,bad,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,bad,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,bad,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,medium,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,medium,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,medium,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,good,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,good,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,good,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_05249_d_0000009,bad,good,car,76,102,26,How many car objects are in this area?,76,102,False
0000001_05249_d_0000009,bad,good,car,76,102,26,How many car objects are in this area?,76,102,False
0000001_05249_d_0000009,bad,good,car,76,102,26,How many car objects are in this area?,76,102,False
0000001_05249_d_0000009,medium,good,car,76,102,26,How many car objects are in this area?,76,102,False
0000001_05249_d_0000009,medium,good,car,76,102,26,How many car objects are in this area?,76,102,False
0000001_05249_d_0000009,medium,good,car,76,102,26,How many car objects are in this area?,76,102,False
0000001_05249_d_0000009,good,good,car,76,102,26,How many car objects are in this area?,76,102,False
0000001_05249_d_0000009,good,good,car,76,102,26,How many car objects are in this area?,76,102,False
0000001_05249_d_0000009,good,good,car,76,102,26,How many car objects are in this area?,76,102,False
0000001_05249_d_0000009,bad,good,motor,27,5,22,How many motor objects are in this area?,27,5,False
0000001_05249_d_0000009,bad,good,motor,27,5,22,How many motor objects are in this area?,27,5,False
0000001_05249_d_0000009,bad,good,motor,27,5,22,How many motor objects are in this area?,27,5,False
0000001_05249_d_0000009,medium,good,motor,27,5,22,How many motor objects are in this area?,27,5,False
0000001_05249_d_0000009,medium,good,motor,27,5,22,How many motor objects are in this area?,27,5,False
0000001_05249_d_0000009,medium,good,motor,27,5,22,How many motor objects are in this area?,27,5,False
0000001_05249_d_0000009,good,good,motor,27,5,22,How many motor objects are in this area?,27,5,False
0000001_05249_d_0000009,good,good,motor,27,5,22,How many motor objects are in this area?,27,5,False
0000001_05249_d_0000009,good,good,motor,27,5,22,How many motor objects are in this area?,27,5,False
0000001_05499_d_0000010,bad,good,awning-tricycle,11,1,10,How many awning-tricycle objects are in this area?,11,1,False
0000001_05499_d_0000010,bad,good,awning-tricycle,11,1,10,How many awning-tricycle objects are in this area?,11,1,False
0000001_05499_d_0000010,bad,good,awning-tricycle,11,1,10,How many awning-tricycle objects are in this area?,11,1,False
0000001_05499_d_0000010,medium,good,awning-tricycle,11,1,10,How many awning-tricycle objects are in this area?,11,1,False
0000001_05499_d_0000010,medium,good,awning-tricycle,11,1,10,How many awning-tricycle objects are in this area?,11,1,False
0000001_05499_d_0000010,medium,good,awning-tricycle,11,1,10,How many awning-tricycle objects are in this area?,11,1,False
0000001_05499_d_0000010,good,good,awning-tricycle,11,1,10,How many awning-tricycle objects are in this area?,11,1,False
0000001_05499_d_0000010,good,good,awning-tricycle,11,1,10,How many awning-tricycle objects are in this area?,11,1,False
0000001_05499_d_0000010,good,good,awning-tricycle,11,1,10,How many awning-tricycle objects are in this area?,11,1,False
0000001_05999_d_0000011,bad,good,awning-tricycle,3,0,3,How many awning-tricycle objects are in this area?,3,0,False
0000001_05999_d_0000011,bad,good,awning-tricycle,3,0,3,How many awning-tricycle objects are in this area?,3,0,False
0000001_05999_d_0000011,bad,good,awning-tricycle,3,0,3,How many awning-tricycle objects are in this area?,3,0,False
0000001_05999_d_0000011,medium,good,awning-tricycle,3,0,3,How many awning-tricycle objects are in this area?,3,0,False
0000001_05999_d_0000011,medium,good,awning-tricycle,3,0,3,How many awning-tricycle objects are in this area?,3,0,False
0000001_05999_d_0000011,medium,good,awning-tricycle,3,0,3,How many awning-tricycle objects are in this area?,3,0,False
0000001_05999_d_0000011,good,good,awning-tricycle,3,0,3,How many awning-tricycle objects are in this area?,3,0,False
0000001_05999_d_0000011,good,good,awning-tricycle,3,0,3,How many awning-tricycle objects are in this area?,3,0,False
0000001_05999_d_0000011,good,good,awning-tricycle,3,0,3,How many awning-tricycle objects are in this area?,3,0,False
0000021_00000_d_0000001,bad,medium,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000021_00000_d_0000001,bad,medium,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000021_00000_d_0000001,bad,medium,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000021_00000_d_0000001,medium,medium,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000021_00000_d_0000001,medium,medium,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000021_00000_d_0000001,medium,medium,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000021_00000_d_0000001,good,medium,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000021_00000_d_0000001,good,medium,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000021_00000_d_0000001,good,medium,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000021_00000_d_0000001,bad,medium,pedestrian,9,5,4,How many pedestrian objects are in this area?,9,5,False
0000021_00000_d_0000001,bad,medium,pedestrian,9,5,4,How many pedestrian objects are in this area?,9,5,False
0000021_00000_d_0000001,bad,medium,pedestrian,9,5,4,How many pedestrian objects are in this area?,9,5,False
0000021_00000_d_0000001,medium,medium,pedestrian,9,5,4,How many pedestrian objects are in this area?,9,5,False
0000021_00000_d_0000001,medium,medium,pedestrian,9,5,4,How many pedestrian objects are in this area?,9,5,False
0000021_00000_d_0000001,medium,medium,pedestrian,9,5,4,How many pedestrian objects are in this area?,9,5,False
0000021_00000_d_0000001,good,medium,pedestrian,9,5,4,How many pedestrian objects are in this area?,9,5,False
0000021_00000_d_0000001,good,medium,pedestrian,9,5,4,How many pedestrian objects are in this area?,9,5,False
0000021_00000_d_0000001,good,medium,pedestrian,9,5,4,How many pedestrian objects are in this area?,9,5,False
0000021_00500_d_0000002,bad,medium,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000021_00500_d_0000002,bad,medium,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000021_00500_d_0000002,bad,medium,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000021_00500_d_0000002,medium,medium,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000021_00500_d_0000002,medium,medium,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000021_00500_d_0000002,medium,medium,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000021_00500_d_0000002,good,medium,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000021_00500_d_0000002,good,medium,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000021_00500_d_0000002,good,medium,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000021_00800_d_0000003,bad,poor,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000021_00800_d_0000003,bad,poor,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000021_00800_d_0000003,bad,poor,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000021_00800_d_0000003,medium,poor,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000021_00800_d_0000003,medium,poor,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000021_00800_d_0000003,medium,poor,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000021_00800_d_0000003,good,poor,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000021_00800_d_0000003,good,poor,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000021_00800_d_0000003,good,poor,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000022_00000_d_0000004,bad,poor,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000022_00000_d_0000004,bad,poor,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000022_00000_d_0000004,bad,poor,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000022_00000_d_0000004,medium,poor,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000022_00000_d_0000004,medium,poor,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000022_00000_d_0000004,medium,poor,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000022_00000_d_0000004,good,poor,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000022_00000_d_0000004,good,poor,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000022_00000_d_0000004,good,poor,motor,7,0,7,How many motor objects are in this area?,7,0,False
0000022_00500_d_0000005,bad,poor,motor,6,3,3,How many motor objects are in this area?,6,3,False
0000022_00500_d_0000005,bad,poor,motor,6,3,3,How many motor objects are in this area?,6,3,False
0000022_00500_d_0000005,bad,poor,motor,6,3,3,How many motor objects are in this area?,6,3,False
0000022_00500_d_0000005,medium,poor,motor,6,3,3,How many motor objects are in this area?,6,3,False
0000022_00500_d_0000005,medium,poor,motor,6,3,3,How many motor objects are in this area?,6,3,False
0000022_00500_d_0000005,medium,poor,motor,6,3,3,How many motor objects are in this area?,6,3,False
0000022_00500_d_0000005,good,poor,motor,6,3,3,How many motor objects are in this area?,6,3,False
0000022_00500_d_0000005,good,poor,motor,6,3,3,How many motor objects are in this area?,6,3,False
0000022_00500_d_0000005,good,poor,motor,6,3,3,How many motor objects are in this area?,6,3,False
0000022_01251_d_0000007,bad,good,motor,2,0,2,How many motor objects are in this area?,2,0,False
0000022_01251_d_0000007,bad,good,motor,2,0,2,How many motor objects are in this area?,2,0,False
0000022_01251_d_0000007,bad,good,motor,2,0,2,How many motor objects are in this area?,2,0,False
0000022_01251_d_0000007,medium,good,motor,2,0,2,How many motor objects are in this area?,2,0,False
0000022_01251_d_0000007,medium,good,motor,2,0,2,How many motor objects are in this area?,2,0,False
0000022_01251_d_0000007,medium,good,motor,2,0,2,How many motor objects are in this area?,2,0,False
0000022_01251_d_0000007,good,good,motor,2,0,2,How many motor objects are in this area?,2,0,False
0000022_01251_d_0000007,good,good,motor,2,0,2,How many motor objects are in this area?,2,0,False
0000022_01251_d_0000007,good,good,motor,2,0,2,How many motor objects are in this area?,2,0,False
0000023_00000_d_0000008,bad,poor,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000023_00000_d_0000008,bad,poor,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000023_00000_d_0000008,bad,poor,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000023_00000_d_0000008,medium,poor,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000023_00000_d_0000008,medium,poor,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000023_00000_d_0000008,medium,poor,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000023_00000_d_0000008,good,poor,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000023_00000_d_0000008,good,poor,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000023_00000_d_0000008,good,poor,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000023_00868_d_0000010,bad,good,motor,3,1,2,How many motor objects are in this area?,3,1,False
0000023_00868_d_0000010,bad,good,motor,3,1,2,How many motor objects are in this area?,3,1,False
0000023_00868_d_0000010,bad,good,motor,3,1,2,How many motor objects are in this area?,3,1,False
0000023_00868_d_0000010,medium,good,motor,3,1,2,How many motor objects are in this area?,3,1,False
0000023_00868_d_0000010,medium,good,motor,3,1,2,How many motor objects are in this area?,3,1,False
0000023_00868_d_0000010,medium,good,motor,3,1,2,How many motor objects are in this area?,3,1,False
0000023_00868_d_0000010,good,good,motor,3,1,2,How many motor objects are in this area?,3,1,False
0000023_00868_d_0000010,good,good,motor,3,1,2,How many motor objects are in this area?,3,1,False
0000023_00868_d_0000010,good,good,motor,3,1,2,How many motor objects are in this area?,3,1,False
0000024_00000_d_0000012,bad,medium,motor,4,2,2,How many motor objects are in this area?,4,2,False
0000024_00000_d_0000012,bad,medium,motor,4,2,2,How many motor objects are in this area?,4,2,False
0000024_00000_d_0000012,bad,medium,motor,4,2,2,How many motor objects are in this area?,4,2,False
0000024_00000_d_0000012,medium,medium,motor,4,2,2,How many motor objects are in this area?,4,2,False
0000024_00000_d_0000012,medium,medium,motor,4,2,2,How many motor objects are in this area?,4,2,False
0000024_00000_d_0000012,medium,medium,motor,4,2,2,How many motor objects are in this area?,4,2,False
0000024_00000_d_0000012,good,medium,motor,4,2,2,How many motor objects are in this area?,4,2,False
0000024_00000_d_0000012,good,medium,motor,4,2,2,How many motor objects are in this area?,4,2,False
0000024_00000_d_0000012,good,medium,motor,4,2,2,How many motor objects are in this area?,4,2,False
0000024_00500_d_0000013,bad,good,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000024_00500_d_0000013,bad,good,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000024_00500_d_0000013,bad,good,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000024_00500_d_0000013,medium,good,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000024_00500_d_0000013,medium,good,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000024_00500_d_0000013,medium,good,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000024_00500_d_0000013,good,good,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000024_00500_d_0000013,good,good,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000024_00500_d_0000013,good,good,motor,3,0,3,How many motor objects are in this area?,3,0,False
0000024_01543_d_0000015,bad,good,pedestrian,7,4,3,How many pedestrian objects are in this area?,7,4,False
0000024_01543_d_0000015,bad,good,pedestrian,7,4,3,How many pedestrian objects are in this area?,7,4,False
0000024_01543_d_0000015,bad,good,pedestrian,7,4,3,How many pedestrian objects are in this area?,7,4,False
0000024_01543_d_0000015,medium,good,pedestrian,7,4,3,How many pedestrian objects are in this area?,7,4,False
0000024_01543_d_0000015,medium,good,pedestrian,7,4,3,How many pedestrian objects are in this area?,7,4,False
0000024_01543_d_0000015,medium,good,pedestrian,7,4,3,How many pedestrian objects are in this area?,7,4,False
0000024_01543_d_0000015,good,good,pedestrian,7,4,3,How many pedestrian objects are in this area?,7,4,False
0000024_01543_d_0000015,good,good,pedestrian,7,4,3,How many pedestrian objects are in this area?,7,4,False
0000024_01543_d_0000015,good,good,pedestrian,7,4,3,How many pedestrian objects are in this area?,7,4,False
0000026_00500_d_0000025,bad,good,car,10,13,3,How many car objects are in this area?,10,13,False
0000026_00500_d_0000025,bad,good,car,10,13,3,How many car objects are in this area?,10,13,False
0000026_00500_d_0000025,bad,good,car,10,13,3,How many car objects are in this area?,10,13,False
0000026_00500_d_0000025,medium,good,car,10,13,3,How many car objects are in this area?,10,13,False
0000026_00500_d_0000025,medium,good,car,10,13,3,How many car objects are in this area?,10,13,False
0000026_00500_d_0000025,medium,good,car,10,13,3,How many car objects are in this area?,10,13,False
0000026_00500_d_0000025,good,good,car,10,13,3,How many car objects are in this area?,10,13,False
0000026_00500_d_0000025,good,good,car,10,13,3,How many car objects are in this area?,10,13,False
0000026_00500_d_0000025,good,good,car,10,13,3,How many car objects are in this area?,10,13,False
0000026_01000_d_0000026,bad,good,car,15,18,3,How many car objects are in this area?,15,18,False
0000026_01000_d_0000026,bad,good,car,15,18,3,How many car objects are in this area?,15,18,False
0000026_01000_d_0000026,bad,good,car,15,18,3,How many car objects are in this area?,15,18,False
0000026_01000_d_0000026,medium,good,car,15,18,3,How many car objects are in this area?,15,18,False
0000026_01000_d_0000026,medium,good,car,15,18,3,How many car objects are in this area?,15,18,False
0000026_01000_d_0000026,medium,good,car,15,18,3,How many car objects are in this area?,15,18,False
0000026_01000_d_0000026,good,good,car,15,18,3,How many car objects are in this area?,15,18,False
0000026_01000_d_0000026,good,good,car,15,18,3,How many car objects are in this area?,15,18,False
0000026_01000_d_0000026,good,good,car,15,18,3,How many car objects are in this area?,15,18,False
0000055_00000_d_0000109,bad,medium,motor,13,2,11,How many motor objects are in this area?,13,2,False
0000055_00000_d_0000109,bad,medium,motor,13,2,11,How many motor objects are in this area?,13,2,False
0000055_00000_d_0000109,bad,medium,motor,13,2,11,How many motor objects are in this area?,13,2,False
0000055_00000_d_0000109,medium,medium,motor,13,2,11,How many motor objects are in this area?,13,2,False
0000055_00000_d_0000109,medium,medium,motor,13,2,11,How many motor objects are in this area?,13,2,False
0000055_00000_d_0000109,medium,medium,motor,13,2,11,How many motor objects are in this area?,13,2,False
0000055_00000_d_0000109,good,medium,motor,13,2,11,How many motor objects are in this area?,13,2,False
0000055_00000_d_0000109,good,medium,motor,13,2,11,How many motor objects are in this area?,13,2,False
0000055_00000_d_0000109,good,medium,motor,13,2,11,How many motor objects are in this area?,13,2,False
0000055_00000_d_0000109,bad,medium,pedestrian,52,28,24,How many pedestrian objects are in this area?,52,28,False
0000055_00000_d_0000109,bad,medium,pedestrian,52,28,24,How many pedestrian objects are in this area?,52,28,False
0000055_00000_d_0000109,bad,medium,pedestrian,52,28,24,How many pedestrian objects are in this area?,52,28,False
0000055_00000_d_0000109,medium,medium,pedestrian,52,28,24,How many pedestrian objects are in this area?,52,28,False
0000055_00000_d_0000109,medium,medium,pedestrian,52,28,24,How many pedestrian objects are in this area?,52,28,False
0000055_00000_d_0000109,medium,medium,pedestrian,52,28,24,How many pedestrian objects are in this area?,52,28,False
0000055_00000_d_0000109,good,medium,pedestrian,52,28,24,How many pedestrian objects are in this area?,52,28,False
0000055_00000_d_0000109,good,medium,pedestrian,52,28,24,How many pedestrian objects are in this area?,52,28,False
0000055_00000_d_0000109,good,medium,pedestrian,52,28,24,How many pedestrian objects are in this area?,52,28,False
0000055_00714_d_0000110,bad,medium,motor,13,6,7,How many motor objects are in this area?,13,6,False
0000055_00714_d_0000110,bad,medium,motor,13,6,7,How many motor objects are in this area?,13,6,False
0000055_00714_d_0000110,bad,medium,motor,13,6,7,How many motor objects are in this area?,13,6,False
0000055_00714_d_0000110,medium,medium,motor,13,6,7,How many motor objects are in this area?,13,6,False
0000055_00714_d_0000110,medium,medium,motor,13,6,7,How many motor objects are in this area?,13,6,False
0000055_00714_d_0000110,medium,medium,motor,13,6,7,How many motor objects are in this area?,13,6,False
0000055_00714_d_0000110,good,medium,motor,13,6,7,How many motor objects are in this area?,13,6,False
0000055_00714_d_0000110,good,medium,motor,13,6,7,How many motor objects are in this area?,13,6,False
0000055_00714_d_0000110,good,medium,motor,13,6,7,How many motor objects are in this area?,13,6,False
0000069_00001_d_0000001,bad,good,motor,5,3,2,How many motor objects are in this area?,5,3,False
0000069_00001_d_0000001,bad,good,motor,5,3,2,How many motor objects are in this area?,5,3,False
0000069_00001_d_0000001,bad,good,motor,5,3,2,How many motor objects are in this area?,5,3,False
0000069_00001_d_0000001,medium,good,motor,5,3,2,How many motor objects are in this area?,5,3,False
0000069_00001_d_0000001,medium,good,motor,5,3,2,How many motor objects are in this area?,5,3,False
0000069_00001_d_0000001,medium,good,motor,5,3,2,How many motor objects are in this area?,5,3,False
0000069_00001_d_0000001,good,good,motor,5,3,2,How many motor objects are in this area?,5,3,False
0000069_00001_d_0000001,good,good,motor,5,3,2,How many motor objects are in this area?,5,3,False
0000069_00001_d_0000001,good,good,motor,5,3,2,How many motor objects are in this area?,5,3,False
0000069_00483_d_0000002,bad,good,pedestrian,23,29,6,How many pedestrian objects are in this area?,23,29,False
0000069_00483_d_0000002,bad,good,pedestrian,23,29,6,How many pedestrian objects are in this area?,23,29,False
0000069_00483_d_0000002,bad,good,pedestrian,23,29,6,How many pedestrian objects are in this area?,23,29,False
0000069_00483_d_0000002,medium,good,pedestrian,23,29,6,How many pedestrian objects are in this area?,23,29,False
0000069_00483_d_0000002,medium,good,pedestrian,23,29,6,How many pedestrian objects are in this area?,23,29,False
0000069_00483_d_0000002,medium,good,pedestrian,23,29,6,How many pedestrian objects are in this area?,23,29,False
0000069_00483_d_0000002,good,good,pedestrian,23,29,6,How many pedestrian objects are in this area?,23,29,False
0000069_00483_d_0000002,good,good,pedestrian,23,29,6,How many pedestrian objects are in this area?,23,29,False
0000069_00483_d_0000002,good,good,pedestrian,23,29,6,How many pedestrian objects are in this area?,23,29,False
0000069_00713_d_0000003,bad,good,pedestrian,34,25,9,How many pedestrian objects are in this area?,34,25,False
0000069_00713_d_0000003,bad,good,pedestrian,34,25,9,How many pedestrian objects are in this area?,34,25,False
0000069_00713_d_0000003,bad,good,pedestrian,34,25,9,How many pedestrian objects are in this area?,34,25,False
0000069_00713_d_0000003,medium,good,pedestrian,34,25,9,How many pedestrian objects are in this area?,34,25,False
0000069_00713_d_0000003,medium,good,pedestrian,34,25,9,How many pedestrian objects are in this area?,34,25,False
0000069_00713_d_0000003,medium,good,pedestrian,34,25,9,How many pedestrian objects are in this area?,34,25,False
0000069_00713_d_0000003,good,good,pedestrian,34,25,9,How many pedestrian objects are in this area?,34,25,False
0000069_00713_d_0000003,good,good,pedestrian,34,25,9,How many pedestrian objects are in this area?,34,25,False
0000069_00713_d_0000003,good,good,pedestrian,34,25,9,How many pedestrian objects are in this area?,34,25,False
0000069_01878_d_0000005,bad,good,pedestrian,30,23,7,How many pedestrian objects are in this area?,30,23,False
0000069_01878_d_0000005,bad,good,pedestrian,30,23,7,How many pedestrian objects are in this area?,30,23,False
0000069_01878_d_0000005,bad,good,pedestrian,30,23,7,How many pedestrian objects are in this area?,30,23,False
0000069_01878_d_0000005,medium,good,pedestrian,30,23,7,How many pedestrian objects are in this area?,30,23,False
0000069_01878_d_0000005,medium,good,pedestrian,30,23,7,How many pedestrian objects are in this area?,30,23,False
0000069_01878_d_0000005,medium,good,pedestrian,30,23,7,How many pedestrian objects are in this area?,30,23,False
0000069_01878_d_0000005,good,good,pedestrian,30,23,7,How many pedestrian objects are in this area?,30,23,False
0000069_01878_d_0000005,good,good,pedestrian,30,23,7,How many pedestrian objects are in this area?,30,23,False
0000069_01878_d_0000005,good,good,pedestrian,30,23,7,How many pedestrian objects are in this area?,30,23,False
0000069_02163_d_0000006,bad,good,car,6,1,5,How many car objects are in this area?,6,1,False
0000069_02163_d_0000006,bad,good,car,6,1,5,How many car objects are in this area?,6,1,False
0000069_02163_d_0000006,bad,good,car,6,1,5,How many car objects are in this area?,6,1,False
0000069_02163_d_0000006,medium,good,car,6,1,5,How many car objects are in this area?,6,1,False
0000069_02163_d_0000006,medium,good,car,6,1,5,How many car objects are in this area?,6,1,False
0000069_02163_d_0000006,medium,good,car,6,1,5,How many car objects are in this area?,6,1,False
0000069_02163_d_0000006,good,good,car,6,1,5,How many car objects are in this area?,6,1,False
0000069_02163_d_0000006,good,good,car,6,1,5,How many car objects are in this area?,6,1,False
0000069_02163_d_0000006,good,good,car,6,1,5,How many car objects are in this area?,6,1,False
0000069_02480_d_0000007,bad,medium,car,18,4,14,How many car objects are in this area?,18,4,False
0000069_02480_d_0000007,bad,medium,car,18,4,14,How many car objects are in this area?,18,4,False
0000069_02480_d_0000007,bad,medium,car,18,4,14,How many car objects are in this area?,18,4,False
0000069_02480_d_0000007,medium,medium,car,18,4,14,How many car objects are in this area?,18,4,False
0000069_02480_d_0000007,medium,medium,car,18,4,14,How many car objects are in this area?,18,4,False
0000069_02480_d_0000007,medium,medium,car,18,4,14,How many car objects are in this area?,18,4,False
0000069_02480_d_0000007,good,medium,car,18,4,14,How many car objects are in this area?,18,4,False
0000069_02480_d_0000007,good,medium,car,18,4,14,How many car objects are in this area?,18,4,False
0000069_02480_d_0000007,good,medium,car,18,4,14,How many car objects are in this area?,18,4,False
0000076_02142_d_0000009,bad,good,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000076_02142_d_0000009,bad,good,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000076_02142_d_0000009,bad,good,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000076_02142_d_0000009,medium,good,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
0000076_02142_d_0000009,medium,good,pedestrian,3,6,3,How many pedestrian objects are in this area?,3,6,False
