candidate,scenario,seed,episodes,final50_mean_shaped_reward,final50_mean_shaped_reward_std,delta50_mean_shaped_reward,final50_success_rate,final50_success_rate_std,delta50_success_rate,final50_mean_semantic_accuracy_lcb,final50_mean_semantic_accuracy_lcb_std,delta50_mean_semantic_accuracy_lcb,final50_mean_semantic_quality_gap,final50_mean_semantic_quality_gap_std,delta50_mean_semantic_quality_gap,final50_mean_q_deadline,final50_mean_q_deadline_std,delta50_mean_q_deadline,final50_mean_q_quality,final50_mean_q_quality_std,delta50_mean_q_quality,final50_non_cache_ratio,final50_non_cache_ratio_std,delta50_non_cache_ratio,final50_mean_semantic_payload_kb,final50_mean_semantic_payload_kb_std,delta50_mean_semantic_payload_kb,final50_mean_arrival_delay_s,final50_mean_arrival_delay_s_std,delta50_mean_arrival_delay_s,final50_mean_flight_energy_j,final50_mean_flight_energy_j_std,delta50_mean_flight_energy_j,final50_mean_utm_conflict_risk,final50_mean_utm_conflict_risk_std,delta50_mean_utm_conflict_risk,reward_stable,success_still_rising,q_deadline_exploding,q_quality_exploding
A_state_v1_128x128,nominal_patrol,0,500,-30.872334,30.25955,-8.330333,0.12,0.11921,-0.046667,0.559405,0.117272,-0.021812,0.228858,0.11023,0.016901,14.871015,16.355723,3.618114,1.206978,0.627809,0.08692,0.888333,0.084344,-0.013333,11.453286,18.189707,-4.621126,3.310633,2.486845,0.170354,521.497653,371.446581,23.417455,0.108379,0.053668,0.014128,False,False,False,False
A_state_v1_128x128,nominal_patrol,1,500,-30.718645,38.815622,-0.996225,0.15,0.153659,-0.005,0.546975,0.113609,-0.034347,0.241943,0.110809,0.03163,15.084564,17.188301,0.603182,1.284922,0.629295,0.163627,0.89,0.091954,-0.016667,11.488431,15.123559,-5.219873,3.404171,2.3097,-0.346661,534.860672,345.893831,-50.595119,0.103178,0.052285,0.002809,True,False,False,False
A_state_v1_128x128,nominal_patrol,2,500,-27.647989,31.039217,1.953147,0.136667,0.119907,-0.011667,0.551056,0.109861,-0.018605,0.234952,0.107095,0.01167,11.469653,18.46092,-3.718047,1.239093,0.600121,0.069363,0.891667,0.087003,-0.016667,13.091567,19.145682,-4.379824,3.14025,2.877457,-0.3275,495.085816,434.053598,-49.518027,0.087469,0.034008,-0.013499,True,False,False,False
A_state_v1_128x128,disaster_hotspot,0,500,-16.543275,12.516642,-0.331914,0.094,0.102781,0.014,0.536973,0.112051,0.023016,0.310485,0.107076,-0.021764,3.884247,0.526381,0.053993,1.284804,0.706855,-0.164232,0.876,0.15692,-0.008,1.02646,0.181243,-0.009113,0.821078,0.055753,0.010394,126.330947,9.020793,-2.640451,0.876,0.15692,-0.008,True,False,False,False
A_state_v1_128x128,disaster_hotspot,1,500,-16.695812,12.765246,-0.729021,0.088,0.099277,0.006,0.533763,0.110765,0.016947,0.3138,0.105138,-0.015745,3.868519,0.544754,0.011984,1.301017,0.698554,-0.144364,0.87,0.15906,-0.008,1.750814,5.141,0.72183,0.814474,0.050893,0.001587,127.204515,9.071115,1.955877,0.87,0.15906,-0.008,True,False,False,False
A_state_v1_128x128,disaster_hotspot,2,500,-17.224288,12.498098,-1.680579,0.09,0.100499,0.006,0.534216,0.112832,0.009981,0.312527,0.108258,-0.009875,3.867796,0.531014,0.024276,1.308551,0.698457,-0.078203,0.872,0.157531,-0.002,1.022708,0.182097,-0.001777,0.815574,0.051647,-0.000596,124.250813,8.619589,-0.714127,0.872,0.157531,-0.002,True,False,False,False
A_state_v1_128x128,low_snr_blockage,0,500,-629.566818,924.638507,178.546074,0.213333,0.127105,-0.026667,0.754689,0.111707,0.034983,0.093527,0.103549,-0.033765,97.749335,65.066228,-8.811594,0.406334,0.548843,-0.15564,0.641667,0.273481,0.03,0.649865,0.281032,0.033315,7.150054,6.379005,0.335848,1102.018103,962.224837,48.440143,0.07999,0.03932,0.008879,False,False,False,False
A_state_v1_128x128,low_snr_blockage,1,500,-841.727388,1695.309872,-91.362295,0.2,0.136423,-0.003333,0.738128,0.129915,0.009534,0.108733,0.119671,-0.010121,105.938116,93.520755,6.106515,0.529909,0.651391,-0.021106,0.651667,0.270129,0.048333,0.66476,0.277185,0.051274,7.129347,5.51491,0.399304,1098.107297,834.693336,62.194736,0.079693,0.044295,0.008699,True,False,False,False
A_state_v1_128x128,low_snr_blockage,2,500,-1137.839835,2406.924319,-562.470899,0.19,0.139483,-0.016667,0.709555,0.147541,-0.051483,0.137366,0.139368,0.049812,113.120971,138.152882,17.485426,0.669226,0.780731,0.263162,0.626667,0.292138,-0.055,0.635487,0.301846,-0.153929,7.089115,7.62287,0.402449,1092.15422,1152.741805,60.850225,0.077151,0.045102,0.001532,False,False,False,False
A_state_v1_128x128,edge_overload,0,500,7.207618,4.537821,2.535092,0.463333,0.16,0.106667,0.638644,0.039382,0.029651,0.070949,0.025759,-0.022844,5.833172,3.543547,-0.004545,0.688164,0.23186,-0.145961,0.965,0.04113,-0.008333,0.866512,0.065439,-0.040118,2.102818,0.884002,-0.543254,477.4882,166.110426,-97.819998,0.429156,0.058547,0.008336,False,True,False,False
A_state_v1_128x128,edge_overload,1,500,3.619283,5.023584,-3.688358,0.35,0.121335,-0.093333,0.639799,0.042083,-0.006423,0.071108,0.028999,0.002746,8.661788,4.481082,2.459159,0.689854,0.270184,0.017128,0.961667,0.041533,0.005,0.857451,0.046787,0.011654,3.163339,0.925872,0.887644,679.719135,178.50358,170.498993,0.436669,0.062919,0.012393,False,False,False,False
A_state_v1_128x128,edge_overload,2,500,4.284106,6.557667,-1.246972,0.393333,0.154596,-0.006667,0.622985,0.052478,-0.016308,0.083697,0.038532,0.011079,6.9346,5.152993,-0.335881,0.778624,0.314778,0.069284,0.966667,0.040825,0.003333,0.888042,0.069313,0.033242,2.867462,1.278026,-0.002451,622.670271,246.079518,-0.624207,0.428509,0.068342,-0.003814,False,False,False,False
A_state_v1_128x128,utm_conflict,0,500,-47.464669,27.271793,-1.369239,0.0,0.0,0.0,0.517187,0.123817,-0.00568,0.302813,0.123817,0.00568,7.457215,9.688789,0.470385,1.449957,0.718465,0.023166,0.83,0.115326,0.036,0.985977,0.137412,0.042663,2.658585,2.159574,0.329479,416.173959,323.065307,47.165262,0.002848,0.005348,-0.000567,True,False,False,False
A_state_v1_128x128,utm_conflict,1,500,-51.826338,30.82926,-7.174772,0.0,0.0,0.0,0.525562,0.131206,-0.003204,0.294438,0.131206,0.003204,9.415283,11.250295,2.635027,1.423378,0.720097,0.07318,0.812,0.149184,-0.01,0.964823,0.177226,-0.011848,2.992434,2.366552,0.665569,466.02792,357.474258,99.541992,0.002765,0.005505,0.000189,True,False,False,False
A_state_v1_128x128,utm_conflict,2,500,-45.275433,26.127927,11.961204,0.0,0.0,0.0,0.522513,0.112572,0.000429,0.297487,0.112572,-0.000429,6.519129,9.840436,-5.983057,1.367135,0.666078,-0.052841,0.828,0.144278,0.004,0.983723,0.171375,0.004647,2.302251,1.777151,-1.055631,365.572354,268.412757,-157.271446,0.003099,0.005375,-0.001375,False,False,False,False
B_state_v2_fixed_128x128,nominal_patrol,0,500,-30.460539,30.146476,-8.327257,0.12,0.11921,-0.046667,0.559405,0.117272,-0.021812,0.228858,0.11023,0.016901,14.871015,16.355723,3.618114,1.206978,0.627809,0.08692,0.888333,0.084344,-0.013333,11.453286,18.189707,-4.621126,3.310633,2.486845,0.170354,521.497653,371.446581,23.417455,0.108379,0.053668,0.014128,False,False,False,False
B_state_v2_fixed_128x128,nominal_patrol,1,500,-31.196674,39.047136,-0.973991,0.15,0.153659,-0.005,0.546975,0.113609,-0.034347,0.241943,0.110809,0.03163,15.084564,17.188301,0.603182,1.284922,0.629295,0.163627,0.89,0.091954,-0.016667,11.488431,15.123559,-5.219873,3.404171,2.3097,-0.346661,534.860672,345.893831,-50.595119,0.103178,0.052285,0.002809,True,False,False,False
B_state_v2_fixed_128x128,nominal_patrol,2,500,-30.31096,31.918355,1.967057,0.136667,0.119907,-0.011667,0.551056,0.109861,-0.018605,0.234952,0.107095,0.01167,11.469653,18.46092,-3.718047,1.239093,0.600121,0.069363,0.891667,0.087003,-0.016667,13.091567,19.145682,-4.379824,3.14025,2.877457,-0.3275,495.085816,434.053598,-49.518027,0.087469,0.034008,-0.013499,True,False,False,False
B_state_v2_fixed_128x128,disaster_hotspot,0,500,-16.730451,12.786103,-0.628216,0.092,0.103615,0.014,0.53693,0.111447,0.021841,0.310407,0.106432,-0.020531,3.885826,0.529877,0.050184,1.288022,0.698322,-0.147463,0.874,0.157239,0.0,1.02481,0.181287,0.0003,0.819948,0.057152,0.008198,124.756171,8.559936,1.239476,0.874,0.157239,0.0,True,False,False,False
B_state_v2_fixed_128x128,disaster_hotspot,1,500,-17.592188,12.264134,-0.789898,0.09,0.098489,0.008,0.528788,0.109871,0.017121,0.318045,0.104887,-0.016081,3.698575,0.610191,-0.196142,1.333132,0.690772,-0.148197,0.868,0.150253,-0.02,1.016536,0.173578,-0.024448,0.81258,0.048039,-0.00293,132.690084,13.827604,5.328914,0.868,0.150253,-0.02,True,False,False,False
B_state_v2_fixed_128x128,disaster_hotspot,2,500,-20.709516,9.632113,-4.737505,0.102,0.098975,0.004,0.516494,0.127818,-0.02291,0.328347,0.125593,0.019674,2.642662,1.386604,-0.2733,1.449419,0.732129,0.068723,0.896,0.111283,0.004,1.048536,0.128428,-1.091898,0.969387,0.382441,0.068843,180.267357,44.146809,12.125001,0.8232,0.121843,-0.0191,False,False,False,False
B_state_v2_fixed_128x128,low_snr_blockage,0,500,-629.713241,924.641913,178.527219,0.213333,0.127105,-0.026667,0.754689,0.111707,0.034983,0.093527,0.103549,-0.033765,97.749335,65.066228,-8.811594,0.406334,0.548843,-0.15564,0.641667,0.273481,0.03,0.649865,0.281032,0.033315,7.150054,6.379005,0.335848,1102.018103,962.224837,48.440143,0.07999,0.03932,0.008879,False,False,False,False
B_state_v2_fixed_128x128,low_snr_blockage,1,500,-842.167381,1695.379491,-91.368934,0.2,0.136423,-0.003333,0.738128,0.129915,0.009534,0.108733,0.119671,-0.010121,105.938116,93.520755,6.106515,0.529909,0.651391,-0.021106,0.651667,0.270129,0.048333,0.66476,0.277185,0.051274,7.129347,5.51491,0.399304,1098.107297,834.693336,62.194736,0.079693,0.044295,0.008699,True,False,False,False
B_state_v2_fixed_128x128,low_snr_blockage,2,500,-1137.437183,2406.837862,-562.494735,0.19,0.139483,-0.016667,0.709555,0.147541,-0.051483,0.137366,0.139368,0.049812,113.120971,138.152882,17.485426,0.669226,0.780731,0.263162,0.626667,0.292138,-0.055,0.635487,0.301846,-0.153929,7.089115,7.62287,0.402449,1092.15422,1152.741805,60.850225,0.077151,0.045102,0.001532,False,False,False,False
B_state_v2_fixed_128x128,edge_overload,0,500,6.889091,3.362229,1.025469,0.446667,0.107703,0.035,0.644724,0.030327,0.018004,0.068248,0.022442,-0.014487,5.898415,3.043718,-0.808035,0.670015,0.215243,-0.132209,0.96,0.041633,-0.011667,0.853271,0.049097,-0.021761,2.35328,0.739267,-0.1426,523.951339,140.912508,-26.798202,0.434,0.054857,0.011696,True,True,False,False
B_state_v2_fixed_128x128,edge_overload,1,500,9.739439,2.76583,0.164128,0.541667,0.097539,0.021667,0.649865,0.030557,0.000101,0.066203,0.024382,0.000203,4.333122,2.628072,-0.041288,0.655272,0.232884,0.003041,0.96,0.041633,0.003333,0.849586,0.047135,0.007293,1.460494,0.575943,-0.097816,354.755592,109.345728,-19.329712,0.432014,0.059197,0.016045,True,True,False,False
B_state_v2_fixed_128x128,edge_overload,2,500,9.468315,2.710663,-0.209202,0.535,0.089892,0.008333,0.647062,0.027912,-0.002034,0.066651,0.022827,-0.000663,4.181061,2.694978,-0.333219,0.657634,0.221268,-0.013813,0.961667,0.041533,0.0,0.851939,0.048225,0.004518,1.408954,0.637809,-0.074336,345.665087,122.289506,-13.816045,0.425626,0.057024,-0.000554,True,False,False,False
B_state_v2_fixed_128x128,utm_conflict,0,500,-47.631541,27.344714,-1.351473,0.0,0.0,0.0,0.517187,0.123817,-0.00568,0.302813,0.123817,0.00568,7.457215,9.688789,0.470385,1.449957,0.718465,0.023166,0.83,0.115326,0.036,0.985977,0.137412,0.042663,2.658585,2.159574,0.329479,416.173959,323.065307,47.165262,0.002848,0.005348,-0.000567,True,False,False,False
B_state_v2_fixed_128x128,utm_conflict,1,500,-51.938778,30.884391,-7.170732,0.0,0.0,0.0,0.525562,0.131206,-0.003204,0.294438,0.131206,0.003204,9.415283,11.250295,2.635027,1.423378,0.720097,0.07318,0.812,0.149184,-0.01,0.964823,0.177226,-0.011848,2.992434,2.366552,0.665569,466.02792,357.474258,99.541992,0.002765,0.005505,0.000189,True,False,False,False
B_state_v2_fixed_128x128,utm_conflict,2,500,-45.196983,26.101273,11.905714,0.0,0.0,0.0,0.522513,0.112572,0.000429,0.297487,0.112572,-0.000429,6.519129,9.840436,-5.983057,1.367135,0.666078,-0.052841,0.828,0.144278,0.004,0.983723,0.171375,0.004647,2.302251,1.777151,-1.055631,365.572354,268.412757,-157.271446,0.003099,0.005375,-0.001375,False,False,False,False
