episode,quality_cost,deadline_cost,lambda_quality,lambda_deadline,method,seed
0.0,0.8,0.55,0.0,0.0,service_only_ppo,0
1.0,0.55,0.725,0.0,0.0,service_only_ppo,0
2.0,1.0,0.325,0.0,0.0,service_only_ppo,0
3.0,1.0,0.45,0.0,0.0,service_only_ppo,0
4.0,0.825,0.5,0.0,0.0,service_only_ppo,0
5.0,1.0,0.275,0.0,0.0,service_only_ppo,0
6.0,0.25,0.7,0.0,0.0,service_only_ppo,0
7.0,0.65,0.5,0.0,0.0,service_only_ppo,0
8.0,0.625,0.475,0.0,0.0,service_only_ppo,0
9.0,0.8,0.425,0.0,0.0,service_only_ppo,0
10.0,0.725,0.575,0.0,0.0,service_only_ppo,0
11.0,0.85,0.45,0.0,0.0,service_only_ppo,0
12.0,0.85,0.525,0.0,0.0,service_only_ppo,0
13.0,0.525,0.4,0.0,0.0,service_only_ppo,0
14.0,0.7,0.55,0.0,0.0,service_only_ppo,0
15.0,0.725,0.55,0.0,0.0,service_only_ppo,0
16.0,0.725,0.5,0.0,0.0,service_only_ppo,0
17.0,0.325,0.625,0.0,0.0,service_only_ppo,0
18.0,0.45,0.575,0.0,0.0,service_only_ppo,0
19.0,1.0,0.425,0.0,0.0,service_only_ppo,0
20.0,0.975,0.6,0.0,0.0,service_only_ppo,0
21.0,0.6,0.525,0.0,0.0,service_only_ppo,0
22.0,0.975,0.6,0.0,0.0,service_only_ppo,0
23.0,0.8,0.575,0.0,0.0,service_only_ppo,0
24.0,1.0,0.475,0.0,0.0,service_only_ppo,0
25.0,0.925,0.5,0.0,0.0,service_only_ppo,0
26.0,0.975,0.475,0.0,0.0,service_only_ppo,0
27.0,0.625,0.5,0.0,0.0,service_only_ppo,0
28.0,1.0,0.6,0.0,0.0,service_only_ppo,0
29.0,0.825,0.575,0.0,0.0,service_only_ppo,0
30.0,1.0,0.525,0.0,0.0,service_only_ppo,0
31.0,1.0,0.475,0.0,0.0,service_only_ppo,0
32.0,0.525,0.45,0.0,0.0,service_only_ppo,0
33.0,0.6,0.45,0.0,0.0,service_only_ppo,0
34.0,0.875,0.325,0.0,0.0,service_only_ppo,0
35.0,0.55,0.4,0.0,0.0,service_only_ppo,0
36.0,0.975,0.375,0.0,0.0,service_only_ppo,0
37.0,0.525,0.45,0.0,0.0,service_only_ppo,0
38.0,0.975,0.45,0.0,0.0,service_only_ppo,0
39.0,0.975,0.2,0.0,0.0,service_only_ppo,0
40.0,0.8,0.15,0.0,0.0,service_only_ppo,0
41.0,0.675,0.275,0.0,0.0,service_only_ppo,0
42.0,0.65,0.3,0.0,0.0,service_only_ppo,0
43.0,0.975,0.2,0.0,0.0,service_only_ppo,0
44.0,0.85,0.15,0.0,0.0,service_only_ppo,0
45.0,0.975,0.1,0.0,0.0,service_only_ppo,0
46.0,1.0,0.05,0.0,0.0,service_only_ppo,0
47.0,0.975,0.125,0.0,0.0,service_only_ppo,0
48.0,0.975,0.075,0.0,0.0,service_only_ppo,0
49.0,0.875,0.1,0.0,0.0,service_only_ppo,0
50.0,0.925,0.05,0.0,0.0,service_only_ppo,0
51.0,0.9,0.1,0.0,0.0,service_only_ppo,0
52.0,0.975,0.05,0.0,0.0,service_only_ppo,0
53.0,0.975,0.05,0.0,0.0,service_only_ppo,0
54.0,0.975,0.0,0.0,0.0,service_only_ppo,0
55.0,1.0,0.0,0.0,0.0,service_only_ppo,0
56.0,0.9,0.075,0.0,0.0,service_only_ppo,0
57.0,0.95,0.05,0.0,0.0,service_only_ppo,0
58.0,0.975,0.0,0.0,0.0,service_only_ppo,0
59.0,0.975,0.025,0.0,0.0,service_only_ppo,0
60.0,0.95,0.025,0.0,0.0,service_only_ppo,0
61.0,1.0,0.0,0.0,0.0,service_only_ppo,0
62.0,1.0,0.0,0.0,0.0,service_only_ppo,0
63.0,1.0,0.0,0.0,0.0,service_only_ppo,0
64.0,0.975,0.0,0.0,0.0,service_only_ppo,0
65.0,0.975,0.0,0.0,0.0,service_only_ppo,0
66.0,1.0,0.0,0.0,0.0,service_only_ppo,0
67.0,0.975,0.0,0.0,0.0,service_only_ppo,0
68.0,0.975,0.0,0.0,0.0,service_only_ppo,0
69.0,1.0,0.0,0.0,0.0,service_only_ppo,0
70.0,0.975,0.0,0.0,0.0,service_only_ppo,0
71.0,1.0,0.0,0.0,0.0,service_only_ppo,0
72.0,1.0,0.025,0.0,0.0,service_only_ppo,0
73.0,1.0,0.0,0.0,0.0,service_only_ppo,0
74.0,0.975,0.0,0.0,0.0,service_only_ppo,0
75.0,1.0,0.0,0.0,0.0,service_only_ppo,0
76.0,0.975,0.0,0.0,0.0,service_only_ppo,0
77.0,0.975,0.0,0.0,0.0,service_only_ppo,0
78.0,1.0,0.0,0.0,0.0,service_only_ppo,0
79.0,0.975,0.0,0.0,0.0,service_only_ppo,0
80.0,0.975,0.0,0.0,0.0,service_only_ppo,0
81.0,0.975,0.0,0.0,0.0,service_only_ppo,0
82.0,1.0,0.0,0.0,0.0,service_only_ppo,0
83.0,1.0,0.0,0.0,0.0,service_only_ppo,0
84.0,0.975,0.0,0.0,0.0,service_only_ppo,0
85.0,0.95,0.0,0.0,0.0,service_only_ppo,0
86.0,0.975,0.0,0.0,0.0,service_only_ppo,0
87.0,0.975,0.025,0.0,0.0,service_only_ppo,0
88.0,0.975,0.0,0.0,0.0,service_only_ppo,0
89.0,0.95,0.0,0.0,0.0,service_only_ppo,0
90.0,0.95,0.025,0.0,0.0,service_only_ppo,0
91.0,0.95,0.05,0.0,0.0,service_only_ppo,0
92.0,1.0,0.0,0.0,0.0,service_only_ppo,0
93.0,0.975,0.0,0.0,0.0,service_only_ppo,0
94.0,0.975,0.0,0.0,0.0,service_only_ppo,0
95.0,0.975,0.0,0.0,0.0,service_only_ppo,0
96.0,0.95,0.025,0.0,0.0,service_only_ppo,0
97.0,0.95,0.0,0.0,0.0,service_only_ppo,0
98.0,0.975,0.0,0.0,0.0,service_only_ppo,0
99.0,0.95,0.0,0.0,0.0,service_only_ppo,0
100.0,1.0,0.0,0.0,0.0,service_only_ppo,0
101.0,0.95,0.0,0.0,0.0,service_only_ppo,0
102.0,0.95,0.0,0.0,0.0,service_only_ppo,0
103.0,0.95,0.025,0.0,0.0,service_only_ppo,0
104.0,1.0,0.0,0.0,0.0,service_only_ppo,0
105.0,0.95,0.0,0.0,0.0,service_only_ppo,0
106.0,1.0,0.0,0.0,0.0,service_only_ppo,0
107.0,0.975,0.0,0.0,0.0,service_only_ppo,0
108.0,0.975,0.0,0.0,0.0,service_only_ppo,0
109.0,1.0,0.0,0.0,0.0,service_only_ppo,0
110.0,0.975,0.0,0.0,0.0,service_only_ppo,0
111.0,1.0,0.0,0.0,0.0,service_only_ppo,0
112.0,0.975,0.025,0.0,0.0,service_only_ppo,0
113.0,1.0,0.0,0.0,0.0,service_only_ppo,0
114.0,0.975,0.0,0.0,0.0,service_only_ppo,0
115.0,1.0,0.0,0.0,0.0,service_only_ppo,0
116.0,1.0,0.0,0.0,0.0,service_only_ppo,0
117.0,0.975,0.0,0.0,0.0,service_only_ppo,0
118.0,0.95,0.0,0.0,0.0,service_only_ppo,0
119.0,0.95,0.0,0.0,0.0,service_only_ppo,0
0.0,0.8,0.575,0.0,0.0,hybrid_ppo,0
1.0,0.55,0.725,0.0,0.0,hybrid_ppo,0
2.0,1.0,0.275,0.0,0.0,hybrid_ppo,0
3.0,1.0,0.4,0.0,0.0,hybrid_ppo,0
4.0,0.825,0.5,0.0,0.0,hybrid_ppo,0
5.0,1.0,0.225,0.0,0.0,hybrid_ppo,0
6.0,0.25,0.7,0.0,0.0,hybrid_ppo,0
7.0,0.65,0.425,0.0,0.0,hybrid_ppo,0
8.0,0.625,0.45,0.0,0.0,hybrid_ppo,0
9.0,0.8,0.375,0.0,0.0,hybrid_ppo,0
10.0,0.725,0.425,0.0,0.0,hybrid_ppo,0
11.0,0.85,0.425,0.0,0.0,hybrid_ppo,0
12.0,0.85,0.475,0.0,0.0,hybrid_ppo,0
13.0,0.525,0.4,0.0,0.0,hybrid_ppo,0
14.0,0.7,0.525,0.0,0.0,hybrid_ppo,0
15.0,0.725,0.5,0.0,0.0,hybrid_ppo,0
16.0,0.775,0.375,0.0,0.0,hybrid_ppo,0
17.0,0.325,0.575,0.0,0.0,hybrid_ppo,0
18.0,0.6,0.55,0.0,0.0,hybrid_ppo,0
19.0,1.0,0.375,0.0,0.0,hybrid_ppo,0
20.0,0.975,0.425,0.0,0.0,hybrid_ppo,0
21.0,0.675,0.4,0.0,0.0,hybrid_ppo,0
22.0,0.975,0.5,0.0,0.0,hybrid_ppo,0
23.0,0.825,0.3,0.0,0.0,hybrid_ppo,0
24.0,1.0,0.3,0.0,0.0,hybrid_ppo,0
25.0,0.925,0.25,0.0,0.0,hybrid_ppo,0
26.0,0.975,0.25,0.0,0.0,hybrid_ppo,0
27.0,0.625,0.5,0.0,0.0,hybrid_ppo,0
28.0,0.4,0.55,0.0,0.0,hybrid_ppo,0
29.0,0.85,0.375,0.0,0.0,hybrid_ppo,0
30.0,1.0,0.325,0.0,0.0,hybrid_ppo,0
31.0,1.0,0.175,0.0,0.0,hybrid_ppo,0
32.0,0.5,0.475,0.0,0.0,hybrid_ppo,0
33.0,0.625,0.475,0.0,0.0,hybrid_ppo,0
34.0,0.875,0.35,0.0,0.0,hybrid_ppo,0
35.0,0.525,0.425,0.0,0.0,hybrid_ppo,0
36.0,0.975,0.175,0.0,0.0,hybrid_ppo,0
37.0,0.5,0.625,0.0,0.0,hybrid_ppo,0
38.0,0.975,0.325,0.0,0.0,hybrid_ppo,0
39.0,0.975,0.125,0.0,0.0,hybrid_ppo,0
40.0,0.825,0.15,0.0,0.0,hybrid_ppo,0
41.0,0.625,0.35,0.0,0.0,hybrid_ppo,0
42.0,0.675,0.275,0.0,0.0,hybrid_ppo,0
43.0,0.975,0.175,0.0,0.0,hybrid_ppo,0
44.0,0.775,0.2,0.0,0.0,hybrid_ppo,0
45.0,0.975,0.125,0.0,0.0,hybrid_ppo,0
46.0,1.0,0.025,0.0,0.0,hybrid_ppo,0
47.0,0.975,0.1,0.0,0.0,hybrid_ppo,0
48.0,0.975,0.05,0.0,0.0,hybrid_ppo,0
49.0,0.875,0.125,0.0,0.0,hybrid_ppo,0
50.0,0.925,0.05,0.0,0.0,hybrid_ppo,0
51.0,0.85,0.125,0.0,0.0,hybrid_ppo,0
52.0,0.95,0.075,0.0,0.0,hybrid_ppo,0
53.0,0.975,0.075,0.0,0.0,hybrid_ppo,0
54.0,0.875,0.1,0.0,0.0,hybrid_ppo,0
55.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
56.0,0.9,0.1,0.0,0.0,hybrid_ppo,0
57.0,0.95,0.05,0.0,0.0,hybrid_ppo,0
58.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
59.0,0.975,0.025,0.0,0.0,hybrid_ppo,0
60.0,0.95,0.025,0.0,0.0,hybrid_ppo,0
61.0,0.975,0.025,0.0,0.0,hybrid_ppo,0
62.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
63.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
64.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
65.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
66.0,1.0,0.025,0.0,0.0,hybrid_ppo,0
67.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
68.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
69.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
70.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
71.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
72.0,1.0,0.025,0.0,0.0,hybrid_ppo,0
73.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
74.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
75.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
76.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
77.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
78.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
79.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
80.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
81.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
82.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
83.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
84.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
85.0,0.95,0.0,0.0,0.0,hybrid_ppo,0
86.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
87.0,0.975,0.025,0.0,0.0,hybrid_ppo,0
88.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
89.0,0.925,0.025,0.0,0.0,hybrid_ppo,0
90.0,0.95,0.025,0.0,0.0,hybrid_ppo,0
91.0,0.975,0.025,0.0,0.0,hybrid_ppo,0
92.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
93.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
94.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
95.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
96.0,0.95,0.025,0.0,0.0,hybrid_ppo,0
97.0,0.95,0.0,0.0,0.0,hybrid_ppo,0
98.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
99.0,0.95,0.0,0.0,0.0,hybrid_ppo,0
100.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
101.0,0.95,0.0,0.0,0.0,hybrid_ppo,0
102.0,0.95,0.0,0.0,0.0,hybrid_ppo,0
103.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
104.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
105.0,0.925,0.025,0.0,0.0,hybrid_ppo,0
106.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
107.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
108.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
109.0,0.975,0.025,0.0,0.0,hybrid_ppo,0
110.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
111.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
112.0,0.975,0.025,0.0,0.0,hybrid_ppo,0
113.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
114.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
115.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
116.0,1.0,0.0,0.0,0.0,hybrid_ppo,0
117.0,0.975,0.0,0.0,0.0,hybrid_ppo,0
118.0,0.95,0.0,0.0,0.0,hybrid_ppo,0
119.0,0.95,0.0,0.0,0.0,hybrid_ppo,0
0.0,0.8,0.575,0.04000000000000001,0.028749999999999998,hybrid_tch_ppo,0
1.0,0.55,0.725,0.0675,0.065,hybrid_tch_ppo,0
2.0,1.0,0.275,0.11750000000000001,0.07875,hybrid_tch_ppo,0
3.0,1.0,0.4,0.1675,0.09875,hybrid_tch_ppo,0
4.0,0.825,0.5,0.20875000000000002,0.12375,hybrid_tch_ppo,0
5.0,1.0,0.225,0.25875000000000004,0.135,hybrid_tch_ppo,0
6.0,0.25,0.7,0.27125000000000005,0.17,hybrid_tch_ppo,0
7.0,0.65,0.425,0.3037500000000001,0.19125,hybrid_tch_ppo,0
8.0,0.625,0.45,0.3350000000000001,0.21375,hybrid_tch_ppo,0
9.0,0.8,0.375,0.3750000000000001,0.23249999999999998,hybrid_tch_ppo,0
10.0,0.725,0.425,0.4112500000000001,0.25375,hybrid_tch_ppo,0
11.0,0.85,0.425,0.4537500000000001,0.27499999999999997,hybrid_tch_ppo,0
12.0,0.85,0.475,0.4962500000000001,0.29874999999999996,hybrid_tch_ppo,0
13.0,0.525,0.4,0.5225000000000001,0.31875,hybrid_tch_ppo,0
14.0,0.7,0.525,0.5575000000000001,0.345,hybrid_tch_ppo,0
15.0,0.725,0.5,0.5937500000000001,0.37,hybrid_tch_ppo,0
16.0,0.775,0.375,0.6325000000000001,0.38875,hybrid_tch_ppo,0
17.0,0.325,0.575,0.64875,0.4175,hybrid_tch_ppo,0
18.0,0.6,0.55,0.6787500000000001,0.445,hybrid_tch_ppo,0
19.0,1.0,0.375,0.7287500000000001,0.46375,hybrid_tch_ppo,0
20.0,0.975,0.425,0.7775000000000001,0.485,hybrid_tch_ppo,0
21.0,0.675,0.4,0.81125,0.505,hybrid_tch_ppo,0
22.0,0.975,0.5,0.86,0.53,hybrid_tch_ppo,0
23.0,0.8,0.45,0.9,0.5525,hybrid_tch_ppo,0
24.0,1.0,0.325,0.9500000000000001,0.56875,hybrid_tch_ppo,0
25.0,0.925,0.25,0.9962500000000001,0.5812499999999999,hybrid_tch_ppo,0
26.0,0.975,0.275,1.0450000000000002,0.595,hybrid_tch_ppo,0
27.0,0.625,0.475,1.0762500000000002,0.61875,hybrid_tch_ppo,0
28.0,0.375,0.575,1.0950000000000002,0.6475,hybrid_tch_ppo,0
29.0,0.85,0.375,1.1375000000000002,0.66625,hybrid_tch_ppo,0
30.0,1.0,0.35,1.1875000000000002,0.68375,hybrid_tch_ppo,0
31.0,1.0,0.2,1.2375000000000003,0.69375,hybrid_tch_ppo,0
32.0,0.475,0.475,1.2612500000000002,0.7175,hybrid_tch_ppo,0
33.0,0.625,0.475,1.2925000000000002,0.7412500000000001,hybrid_tch_ppo,0
34.0,0.85,0.375,1.3350000000000002,0.7600000000000001,hybrid_tch_ppo,0
35.0,0.475,0.475,1.3587500000000001,0.7837500000000002,hybrid_tch_ppo,0
36.0,0.975,0.15,1.4075000000000002,0.7912500000000001,hybrid_tch_ppo,0
37.0,0.5,0.525,1.4325,0.8175000000000001,hybrid_tch_ppo,0
38.0,0.975,0.3,1.4812500000000002,0.8325000000000001,hybrid_tch_ppo,0
39.0,0.975,0.1,1.5300000000000002,0.8375000000000001,hybrid_tch_ppo,0
40.0,0.875,0.1,1.5737500000000002,0.8425000000000001,hybrid_tch_ppo,0
41.0,0.625,0.325,1.6050000000000002,0.8587500000000001,hybrid_tch_ppo,0
42.0,0.65,0.3,1.6375000000000002,0.8737500000000001,hybrid_tch_ppo,0
43.0,0.975,0.2,1.6862500000000002,0.8837500000000001,hybrid_tch_ppo,0
44.0,0.875,0.15,1.7300000000000002,0.8912500000000001,hybrid_tch_ppo,0
45.0,0.975,0.1,1.7787500000000003,0.8962500000000001,hybrid_tch_ppo,0
46.0,1.0,0.05,1.8287500000000003,0.89875,hybrid_tch_ppo,0
47.0,1.0,0.025,1.8787500000000004,0.9,hybrid_tch_ppo,0
48.0,0.975,0.025,1.9275000000000004,0.90125,hybrid_tch_ppo,0
49.0,0.95,0.05,1.9750000000000005,0.9037499999999999,hybrid_tch_ppo,0
50.0,0.95,0.025,2.0225000000000004,0.9049999999999999,hybrid_tch_ppo,0
51.0,1.0,0.0,2.0725000000000002,0.9049999999999999,hybrid_tch_ppo,0
52.0,1.0,0.0,2.1225,0.9049999999999999,hybrid_tch_ppo,0
53.0,0.975,0.025,2.17125,0.9062499999999999,hybrid_tch_ppo,0
54.0,0.975,0.0,2.22,0.9062499999999999,hybrid_tch_ppo,0
55.0,1.0,0.0,2.27,0.9062499999999999,hybrid_tch_ppo,0
56.0,0.975,0.0,2.31875,0.9062499999999999,hybrid_tch_ppo,0
57.0,1.0,0.0,2.36875,0.9062499999999999,hybrid_tch_ppo,0
58.0,0.975,0.0,2.4175,0.9062499999999999,hybrid_tch_ppo,0
59.0,0.975,0.0,2.46625,0.9062499999999999,hybrid_tch_ppo,0
60.0,0.975,0.0,2.515,0.9062499999999999,hybrid_tch_ppo,0
61.0,1.0,0.0,2.565,0.9062499999999999,hybrid_tch_ppo,0
62.0,1.0,0.0,2.6149999999999998,0.9062499999999999,hybrid_tch_ppo,0
63.0,1.0,0.0,2.6649999999999996,0.9062499999999999,hybrid_tch_ppo,0
64.0,0.975,0.0,2.7137499999999997,0.9062499999999999,hybrid_tch_ppo,0
65.0,0.975,0.0,2.7624999999999997,0.9062499999999999,hybrid_tch_ppo,0
66.0,1.0,0.0,2.8124999999999996,0.9062499999999999,hybrid_tch_ppo,0
67.0,0.975,0.0,2.8612499999999996,0.9062499999999999,hybrid_tch_ppo,0
68.0,0.975,0.0,2.9099999999999997,0.9062499999999999,hybrid_tch_ppo,0
69.0,1.0,0.0,2.9599999999999995,0.9062499999999999,hybrid_tch_ppo,0
70.0,0.975,0.0,3.0087499999999996,0.9062499999999999,hybrid_tch_ppo,0
71.0,1.0,0.0,3.0587499999999994,0.9062499999999999,hybrid_tch_ppo,0
72.0,1.0,0.0,3.1087499999999992,0.9062499999999999,hybrid_tch_ppo,0
73.0,1.0,0.0,3.158749999999999,0.9062499999999999,hybrid_tch_ppo,0
74.0,0.975,0.0,3.207499999999999,0.9062499999999999,hybrid_tch_ppo,0
75.0,1.0,0.0,3.257499999999999,0.9062499999999999,hybrid_tch_ppo,0
76.0,0.975,0.0,3.306249999999999,0.9062499999999999,hybrid_tch_ppo,0
77.0,0.975,0.0,3.354999999999999,0.9062499999999999,hybrid_tch_ppo,0
78.0,1.0,0.0,3.404999999999999,0.9062499999999999,hybrid_tch_ppo,0
79.0,0.975,0.0,3.453749999999999,0.9062499999999999,hybrid_tch_ppo,0
80.0,0.975,0.0,3.502499999999999,0.9062499999999999,hybrid_tch_ppo,0
81.0,0.975,0.0,3.551249999999999,0.9062499999999999,hybrid_tch_ppo,0
82.0,1.0,0.0,3.601249999999999,0.9062499999999999,hybrid_tch_ppo,0
83.0,1.0,0.0,3.6512499999999988,0.9062499999999999,hybrid_tch_ppo,0
84.0,0.975,0.0,3.699999999999999,0.9062499999999999,hybrid_tch_ppo,0
85.0,0.95,0.0,3.7474999999999987,0.9062499999999999,hybrid_tch_ppo,0
86.0,0.975,0.0,3.796249999999999,0.9062499999999999,hybrid_tch_ppo,0
87.0,1.0,0.0,3.8462499999999986,0.9062499999999999,hybrid_tch_ppo,0
88.0,0.95,0.025,3.8937499999999985,0.9074999999999999,hybrid_tch_ppo,0
89.0,0.95,0.0,3.9412499999999984,0.9074999999999999,hybrid_tch_ppo,0
90.0,0.95,0.025,3.9887499999999982,0.9087499999999998,hybrid_tch_ppo,0
91.0,1.0,0.0,4.0387499999999985,0.9087499999999998,hybrid_tch_ppo,0
92.0,1.0,0.0,4.088749999999998,0.9087499999999998,hybrid_tch_ppo,0
93.0,0.975,0.0,4.137499999999998,0.9087499999999998,hybrid_tch_ppo,0
94.0,0.975,0.0,4.1862499999999985,0.9087499999999998,hybrid_tch_ppo,0
95.0,0.975,0.0,4.2349999999999985,0.9087499999999998,hybrid_tch_ppo,0
96.0,0.95,0.0,4.282499999999999,0.9087499999999998,hybrid_tch_ppo,0
97.0,0.95,0.0,4.329999999999999,0.9087499999999998,hybrid_tch_ppo,0
98.0,0.975,0.0,4.378749999999999,0.9087499999999998,hybrid_tch_ppo,0
99.0,0.95,0.0,4.42625,0.9087499999999998,hybrid_tch_ppo,0
100.0,1.0,0.0,4.476249999999999,0.9087499999999998,hybrid_tch_ppo,0
101.0,0.95,0.0,4.52375,0.9087499999999998,hybrid_tch_ppo,0
102.0,0.95,0.0,4.57125,0.9087499999999998,hybrid_tch_ppo,0
103.0,0.975,0.0,4.62,0.9087499999999998,hybrid_tch_ppo,0
104.0,1.0,0.0,4.67,0.9087499999999998,hybrid_tch_ppo,0
105.0,0.95,0.0,4.7175,0.9087499999999998,hybrid_tch_ppo,0
106.0,1.0,0.0,4.7675,0.9087499999999998,hybrid_tch_ppo,0
107.0,0.975,0.0,4.81625,0.9087499999999998,hybrid_tch_ppo,0
108.0,0.975,0.0,4.865,0.9087499999999998,hybrid_tch_ppo,0
109.0,1.0,0.0,4.915,0.9087499999999998,hybrid_tch_ppo,0
110.0,0.975,0.0,4.96375,0.9087499999999998,hybrid_tch_ppo,0
111.0,1.0,0.0,5.01375,0.9087499999999998,hybrid_tch_ppo,0
112.0,1.0,0.0,5.06375,0.9087499999999998,hybrid_tch_ppo,0
113.0,1.0,0.0,5.11375,0.9087499999999998,hybrid_tch_ppo,0
114.0,0.975,0.0,5.1625,0.9087499999999998,hybrid_tch_ppo,0
115.0,1.0,0.0,5.2124999999999995,0.9087499999999998,hybrid_tch_ppo,0
116.0,1.0,0.0,5.262499999999999,0.9087499999999998,hybrid_tch_ppo,0
117.0,0.975,0.0,5.311249999999999,0.9087499999999998,hybrid_tch_ppo,0
118.0,0.95,0.0,5.35875,0.9087499999999998,hybrid_tch_ppo,0
119.0,0.95,0.0,5.40625,0.9087499999999998,hybrid_tch_ppo,0
