policy,episodes,tasks,task_success_rate,average_accuracy,average_delay,average_energy,average_payload_kb,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,average_reward,method,variant,seed,run_dir
always_cache,200,8000,0.017375,0.411142,0.091417,1.61,0.0,1.0,0.982625,0.0,1.0,0.0,0.0,0.0,-0.950629,always_cache,heuristic,0,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed0
always_light,200,8000,0.01925,0.483353,2.415016,296.700916,1.145597,0.993778,0.85725,0.259625,0.0,1.0,0.0,0.0,-1.649687,always_light,heuristic,0,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed0
always_image,200,8000,0.000375,0.439484,4.474696,359.266691,184.117892,0.0,0.552875,0.9995,0.0,0.0,1.0,0.0,-2.958611,always_image,heuristic,0,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed0
greedy_min_sufficient_evidence,200,8000,0.0495,0.27952,5.016742,511.404887,132.701472,0.279258,0.710875,0.920125,0.017625,0.26225,0.720125,0.0,-2.934648,greedy_min_sufficient_evidence,heuristic,0,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed0
no_cache_greedy,200,8000,0.019375,0.149367,4.81815,446.278219,157.978874,0.141969,0.84575,0.969125,0.0,0.14275,0.85725,0.0,-3.201635,no_cache_greedy,heuristic,0,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed0
no_semantic_tokens_greedy,200,8000,0.01775,0.722807,4.529435,372.561351,180.670916,0.018722,0.265375,0.982,0.017375,0.0,0.982625,0.0,-2.612059,no_semantic_tokens_greedy,heuristic,0,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed0
oracle_best_feasible_evidence,200,8000,0.0485,0.819561,2.529145,286.506311,47.292928,0.743138,0.697,0.26975,0.69125,0.05125,0.2575,0.0,-1.515846,oracle_best_feasible_evidence,heuristic,0,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed0
ppo,200,8000,0.017375,0.411142,0.091417,1.61,0.0,0.0,0.982625,0.0,1.0,0.0,0.0,0.0,-0.950629,service_only_ppo,service_only_ppo,0,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/service_only_ppo_seed0
ppo,200,8000,0.017375,0.411142,0.546009,1.61,0.0,0.0,0.982625,0.0,1.0,0.0,0.0,0.0,-1.041548,hybrid_ppo,hybrid_ppo,0,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_ppo_seed0
ppo,200,8000,0.017375,0.411142,0.532738,1.61,0.0,0.0,0.982625,0.0,1.0,0.0,0.0,0.0,-1.038893,hybrid_tch_ppo,hybrid_tch_ppo,0,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_tch_ppo_seed0
always_cache,200,8000,0.017375,0.411196,0.091369,1.61,0.0,1.0,0.982625,0.0,1.0,0.0,0.0,0.0,-0.950619,always_cache,heuristic,1,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed1
always_light,200,8000,0.01925,0.483146,2.407386,295.547981,1.145501,0.993778,0.85775,0.2585,0.0,1.0,0.0,0.0,-1.647075,always_light,heuristic,1,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed1
always_image,200,8000,0.000375,0.439417,4.473726,359.091573,184.116532,0.0,0.553125,0.9995,0.0,0.0,1.0,0.0,-2.958594,always_image,heuristic,1,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed1
greedy_min_sufficient_evidence,200,8000,0.0495,0.279229,5.010283,510.340733,132.791564,0.278763,0.711375,0.920125,0.017625,0.26175,0.720625,0.0,-2.933611,greedy_min_sufficient_evidence,heuristic,1,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed1
no_cache_greedy,200,8000,0.019375,0.149076,4.812054,445.214428,158.068967,0.141473,0.84625,0.969125,0.0,0.14225,0.85775,0.0,-3.20067,no_cache_greedy,heuristic,1,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed1
no_semantic_tokens_greedy,200,8000,0.01775,0.72274,4.528219,372.385987,180.669556,0.018722,0.265625,0.982,0.017375,0.0,0.982625,0.0,-2.611993,no_semantic_tokens_greedy,heuristic,1,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed1
oracle_best_feasible_evidence,200,8000,0.0485,0.819442,2.527036,286.276796,47.245598,0.743393,0.6975,0.2695,0.6915,0.05125,0.25725,0.0,-1.515488,oracle_best_feasible_evidence,heuristic,1,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed1
ppo,200,8000,0.017375,0.411196,0.091369,1.61,0.0,0.0,0.982625,0.0,1.0,0.0,0.0,0.0,-0.950619,service_only_ppo,service_only_ppo,1,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/service_only_ppo_seed1
ppo,200,8000,0.017375,0.411196,0.355817,1.61,0.0,0.0,0.982625,0.0,1.0,0.0,0.0,0.0,-1.003509,hybrid_ppo,hybrid_ppo,1,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_ppo_seed1
ppo,200,8000,0.017375,0.411196,0.125538,1.61,0.0,0.0,0.982625,0.0,1.0,0.0,0.0,0.0,-0.957453,hybrid_tch_ppo,hybrid_tch_ppo,1,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_tch_ppo_seed1
always_cache,200,8000,0.017375,0.411243,0.091356,1.61,0.0,1.0,0.982625,0.0,1.0,0.0,0.0,0.0,-0.950617,always_cache,heuristic,2,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed2
always_light,200,8000,0.01925,0.482477,2.397355,294.033126,1.145522,0.993778,0.859,0.257125,0.0,1.0,0.0,0.0,-1.644338,always_light,heuristic,2,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed2
always_image,200,8000,0.000375,0.439417,4.474517,359.184956,184.116532,0.0,0.553125,0.9995,0.0,0.0,1.0,0.0,-2.95879,always_image,heuristic,2,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed2
greedy_min_sufficient_evidence,200,8000,0.0495,0.278059,5.003726,509.04355,133.020406,0.277521,0.712625,0.920125,0.017625,0.2605,0.721875,0.0,-2.933488,greedy_min_sufficient_evidence,heuristic,2,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed2
no_cache_greedy,200,8000,0.019375,0.147906,4.805422,443.917171,158.297808,0.14023,0.8475,0.969125,0.0,0.141,0.859,0.0,-3.200533,no_cache_greedy,heuristic,2,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed2
no_semantic_tokens_greedy,200,8000,0.01775,0.72274,4.529174,372.479534,180.669556,0.018722,0.265625,0.982,0.017375,0.0,0.982625,0.0,-2.612222,no_semantic_tokens_greedy,heuristic,2,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed2
oracle_best_feasible_evidence,200,8000,0.0485,0.81921,2.514822,284.762621,47.038736,0.744517,0.698625,0.268375,0.692625,0.05125,0.256125,0.0,-1.512025,oracle_best_feasible_evidence,heuristic,2,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/baselines_seed2
ppo,200,8000,0.017375,0.411243,0.091356,1.61,0.0,0.0,0.982625,0.0,1.0,0.0,0.0,0.0,-0.950617,service_only_ppo,service_only_ppo,2,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/service_only_ppo_seed2
ppo,200,8000,0.017375,0.411243,0.205095,1.658377,0.0,0.0,0.982625,0.0,1.0,0.0,0.0,0.0,-0.973384,hybrid_ppo,hybrid_ppo,2,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_ppo_seed2
ppo,200,8000,0.017375,0.411243,0.160328,1.635604,0.0,0.0,0.982625,0.0,1.0,0.0,0.0,0.0,-0.964422,hybrid_tch_ppo,hybrid_tch_ppo,2,outputs/rl/v1_9_formal_hybrid_tch_ppo_20260618/hybrid_tch_ppo_seed2
