source,method,task_success_rate_mean,task_success_rate_std,average_accuracy_mean,average_accuracy_std,average_delay_mean,average_delay_std,average_energy_mean,average_energy_std,average_payload_kb_mean,average_payload_kb_std,quality_violation_rate_mean,quality_violation_rate_std,deadline_violation_rate_mean,deadline_violation_rate_std,service_level_0_ratio_mean,service_level_0_ratio_std,service_level_1_ratio_mean,service_level_1_ratio_std,service_level_2_ratio_mean,service_level_2_ratio_std,service_level_3_ratio_mean,service_level_3_ratio_std,battery_violation_rate_mean,battery_violation_rate_std,resource_violation_rate_mean,resource_violation_rate_std,airspace_conflict_rate_mean,airspace_conflict_rate_std
sim_v1_9_snr_resource,always_cache,0.285625,,0.559877,,0.05,,0.2,,0.0,,0.714375,,0.0,,1.0,,0.0,,0.0,,0.0,,,,,,,
sim_v1_9_snr_resource,always_light,0.2035,,0.599106,,0.35511,,1.0,,0.850032,,0.7965,,0.0,,0.0,,1.0,,0.0,,0.0,,,,,,,
sim_v1_9_snr_resource,always_image,0.560375,,0.587737,,1.545741,,2.5,,93.043568,,0.439625,,0.0,,0.0,,0.0,,1.0,,0.0,,,,,,,
sim_v1_9_snr_resource,greedy_min_sufficient_evidence,0.71075,,0.707152,,0.896145,,1.561625,,48.024437,,0.28925,,0.0,,0.285625,,0.187625,,0.52675,,0.0,,,,,,,
sim_v1_9_snr_resource,no_cache_greedy,0.567,,0.582602,,1.304808,,2.19475,,73.878517,,0.433,,0.0,,0.0,,0.2035,,0.7965,,0.0,,,,,,,
sim_v1_9_snr_resource,no_semantic_tokens_greedy,0.704125,,0.711986,,1.118942,,1.843063,,65.779258,,0.295875,,0.0,,0.285625,,0.0,,0.714375,,0.0,,,,,,,
sim_v1_9_snr_resource,oracle_best_feasible_evidence,0.71075,,0.720823,,0.66363,,1.2192,,29.122253,,0.28925,,0.0,,0.36725,,0.29075,,0.342,,0.0,,,,,,,
semantic_rl_formal,always_cache,0.0,0.0,0.353165,0.0,0.212643,0.0,1.61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,always_light,0.0,0.0,0.533605,0.0,6.217341,0.0,837.934655,0.0,0.788149,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,always_image,0.0,0.0,0.490835,0.0,8.969791,0.0,1019.936402,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,greedy_min_sufficient_evidence,0.0,0.0,0.490835,0.0,8.969791,0.0,1019.936402,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,no_cache_greedy,0.0,0.0,0.490835,0.0,8.969791,0.0,1019.936402,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,no_semantic_tokens_greedy,0.0,0.0,0.490835,0.0,8.969791,0.0,1019.936402,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,oracle_best_feasible_evidence,0.0,0.0,0.533605,0.0,6.217341,0.0,837.934655,0.0,0.788149,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,service_only_ppo,0.0,0.0,0.406689,0.0,3.473652,0.0,457.572335,0.0,0.394074,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,hybrid_ppo_no_lagrangian,0.0,0.0,0.406689,0.0,3.198803,0.0,432.934446,0.0,0.394074,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,hybrid_ppo_lagrangian,0.0,0.0,0.406689,0.0,3.198801,0.0,432.934223,0.0,0.394074,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,proposed_risk_aware_semantic_rl,0.0,0.0,0.490835,0.0,8.134089,0.0,947.056404,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,ablation_no_semantic_utility,0.0,0.0,0.490835,0.0,8.087447,0.0,943.269488,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,ablation_accuracy_only_utility,0.0,0.0,0.490835,0.0,8.117224,0.0,945.712637,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,ablation_uncertainty_aware_utility,0.0,0.0,0.490835,0.0,8.13449,0.0,947.129077,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,ablation_no_safety_layer,0.0,0.0,0.490835,0.0,8.134089,0.0,947.056404,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_rl_formal,ablation_no_imitation_warm_start,0.0,0.0,0.406689,0.0,3.198803,0.0,432.934446,0.0,0.394074,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
